x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
9685,,6,,,,,,
NAME,,DESCRIPTION,parental,parental2,lm21,lm22,lm23,lm24
202314_at,'PSMD6',na,347,329.8,396.6,278.1,364,297.2
202315_s_at,'R3HDM1',na,453.5,528.6,425.6,570.2,512.6,597.3
202317_s_at,'NELFB',na,514.6,556.8,536.5,648.3,705.5,604
202318_s_at,'RFXANK',na,462,466.7,385.1,472.8,415.2,482.6
202319_at,'AKAP2 /// PALM2-AKAP2',na,95.9,88.5,111.7,122.6,73.9,70
202321_at,'AKAP2 /// PALM2-AKAP2',na,89.3,160.3,84.6,91.5,100,59
202322_s_at,'SYNE2',na,652.2,758.5,344.5,608,593.8,300.6
202323_s_at,'ROCK2',na,300.1,309.2,183.5,284.3,276.9,316.2
202324_s_at,'CASP3',na,827.7,956.9,745.4,1001.6,802.8,767.2
202325_s_at,'STIM1',na,2876,2990.9,2892.7,2769.6,2789.1,2526.7
202326_at,'FBN1',na,562.1,620.8,507.9,464.2,523.8,463.6
202329_at,'ACP2',na,920.2,700.5,996.5,1169.8,1092.2,950
202330_s_at,'CCNG2',na,1437.9,1185.9,1481.8,1320,1325.8,1884.9
202332_at,'CCNG2',na,440,380.7,425.1,415.3,437.9,385.9
202333_s_at,'PIEZO1',na,1031.1,1054.5,1159.3,1177.1,1088.6,878.5
202334_s_at,'SFSWAP',na,767.5,644.3,898.7,880.5,703.3,650.1
202335_s_at,'SFSWAP',na,53,41.4,107.6,47.5,43.3,38.3
202336_s_at,'DNTTIP2',na,1819.3,2009.5,1440.8,1681,1632.7,1332.3
202337_at,'SHOC2',na,657.8,657,490.5,772.3,706,538.8
202338_at,'ZMYM2',na,1183.3,1197.6,1417.5,1495.3,1650.9,1494.4
202342_s_at,'UBE2S /// UBE2SP1',na,281.8,252.8,327,252.4,251.6,237.5
202343_x_at,'OXCT1',na,4214.9,3623.9,3011.9,3264.8,3574.9,2440.2
202344_at,'INPP5K',na,569.9,522.4,503.8,521.6,540.8,566.2
202345_s_at,'INPP5K',na,846.4,840,1786.7,1375.4,1685.9,2580.8
202346_at,'NNT',na,998.4,1116.2,1287.8,1141.8,1090.1,1411.5
