x_1_2,Var2,Var3,Var4,Var5,Var6,Var7,Var8
10012,5,,,,,,
ID_REF,Description,,parental,parentalAM,parentalAMB,BrM2a,Brm2a
213792_s_at,na,'USP33',254.987,224.104,231.578,235.605,212.381
213793_s_at,na,'CALU',249.687,184.298,222.693,364.095,306.184
213794_s_at,na,'GPSM3',1071.85,839.769,854.938,940.996,1057.88
213795_s_at,na,'KCTD20',318.896,360.731,484.589,271.47,401.073
213798_s_at,na,'SHC1',4995.27,6188.48,6280.86,6659.75,4305.28
213801_x_at,na,'RALGAPA1 /// RALGAPA1P',14019.9,13168.3,13066.2,14405.8,15907.7
213803_at,na,'RPARP-AS1',1149.36,1299.41,1086.36,1146.92,1113.37
213805_at,na,'GRHPR',195.706,169.163,152.716,168.036,182.992
213807_x_at,na,'PLAUR',1487.2,1096.1,1190.42,1042.9,1369.98
213812_s_at,na,'GAPVD1',1156.89,1187.14,1102.31,895.401,1172.22
213815_x_at,na,'APLP2',223.155,305.633,281.097,216.985,265.45
213816_s_at,na,'ZNF37A',668.127,293.453,256.634,534.9,421.973
213822_s_at,na,'CALD1',451.05,470.965,376.224,580.802,641.85
213826_s_at,na,'UBTF',183.406,194.274,220.42,214.507,206.365
213828_x_at,na,'SRSF2',9996.9,10848.8,11106.3,11522.3,8476.5
213829_x_at,na,'CAPN2',233.941,244.219,371.831,174.556,219.437
213835_x_at,na,'KIAA0754 /// MACF1',542.001,540.409,616.262,711.464,680.864
213836_s_at,na,'ADAM10',323.089,349.312,319.994,384.023,282.863
213837_at,na,'---',69.5172,118.781,91.1218,79.8643,75.0767
213838_at,na,'TRRAP',1093.39,1112.01,1119.17,1258.01,1410.41
213846_at,na,'DDAH2',1096.18,774.323,1132.07,1049.9,907.367
213848_at,na,'BRD2',745.722,623.799,738.595,682.207,569.975
213850_s_at,na,'ADAMTS3',607.298,758.128,690.935,638.127,671.338
213851_at,na,'ANKHD1-EIF4EBP3 /// EIF4EBP3',253.711,307.409,213.665,325.585,258.266
213852_at,na,'ATP6V1D',814.621,736.283,638.667,817.209,1222.07
213853_at,na,'TRAK1',321.137,234.313,233.198,398.713,217.404
213857_s_at,na,'SRPK2',1713.73,2002.89,2104.9,2027.91,1532.37
213859_x_at,na,'ATP9B',199.101,189.081,198.668,195.356,148.738
213860_x_at,na,'PCM1',3196.55,2594.09,2550.03,3200.63,3564.23
213861_s_at,na,'HMGB1',310.438,302.661,322.931,231.838,351.258
213864_s_at,na,'PRPF40A',7081.44,8766.03,8284.28,8526,7972.14
213865_at,na,'ARID4B /// RBM34',1420.52,640.734,578.28,1189.61,822.136
213867_x_at,na,'FAM21A /// FAM21C',20076.8,24676.2,24489.1,21277.1,22236.6
213872_at,na,'TMF1',3854.33,3186.17,3040.19,3800.92,3520.34
213873_at,na,'---',162.139,222.96,198.498,139.278,178.454
213875_x_at,na,'APP',1274.79,1007.44,1353.22,1146.42,1040.9
213878_at,na,'SUSD5',345.834,194.85,304.398,202.581,236.912
213879_at,na,'API5',260.668,278.645,189.845,181.553,189.724
213881_x_at,na,'API5',7902.65,8622.42,8109.3,7430.14,8946.42
213882_at,na,'NUP160',38.7012,48.143,67.8362,52.2635,88.0816
213883_s_at,na,'SPATA2L',401.776,424.57,467.074,361.778,265.479
213885_at,na,'MAP3K9',147.996,197.9,197.755,142.12,181.185
213887_s_at,na,'MTMR1',2008.58,2477.72,2631.94,1899.87,2191.77
213890_x_at,na,'EXT1',16888.2,16875.3,15949,17306.2,16712.1
213892_s_at,na,'SON',784.817,897.165,1001.02,906.318,646.043
213893_x_at,na,'DNASE2',713.593,651.61,712.146,543.332,541.188
213895_at,na,'FEZ2',164.047,211.823,252.273,160.241,130.723
213897_s_at,na,'GLUL',635.764,1156.53,1004.28,1333.09,793.403
213899_at,na,'THAP9-AS1',197.414,159.658,145.823,267.654,166.745
213901_x_at,na,'SNHG3',909.707,1088.32,1143,1077.51,891.749
213902_at,na,'DST',488.545,415.257,417.176,388.986,709.653
213906_at,na,'FNBP1L',1295.63,863.685,1014.94,751.707,929.97
213907_at,na,'ZNF33B',286.636,265.431,227.459,259.391,261.042
213909_at,na,'PEX1',147.827,195.924,176.851,105.319,106.751
213911_s_at,na,'GRSF1',6908.83,6794.87,7480.99,5801.65,6068.38
213918_s_at,na,'RNF126',448.286,416.184,414.039,241.984,260.238
213919_at,na,'RREB1',102.978,175.202,122.038,106.371,153.906
213922_at,na,'TM4SF1',52.5961,69.4789,100.655,73.7446,72.1646
213923_at,na,'BCL2L1',1300.12,1470.68,1645.81,870.156,1822.64
213926_s_at,na,'SETD2',179.672,103.639,107.287,292.841,296.272
213927_at,na,'DOCK9',194.623,264.575,225.448,195.667,273.873
213929_at,na,'STAM2',62.8831,104.922,74.6733,67.3077,121.476
213930_at,na,'FBXL18',64.5334,74.6421,34.5787,95.5777,47.6179
213932_x_at,na,'HIST1H2AC',15726.5,18922.1,18056.1,12058.5,14790.5
213935_at,na,'NR2F2',189.394,150.368,191.624,145.504,176.846
213936_x_at,na,'GRB2',89.8445,113.912,124.844,75.0012,148.144
213937_s_at,na,'ELOVL5',902.395,802.483,813.89,599.256,556.062
213940_s_at,na,'LRRC42',277.873,282.16,349.885,204.543,214.203
213941_x_at,na,'SDHC',9222.63,9352.51,9087.31,9640.45,10652
213944_x_at,na,'LOC440434',1035.09,1103.29,1142.75,666.152,708.634
213951_s_at,na,'GTF3A',176.757,121.738,142.342,242.712,199.781
213969_x_at,na,'NSDHL',13920.7,13988.6,13791,12631.1,13101.8
213971_s_at,na,'---',485.103,363.687,301.914,503.162,498.942
213977_s_at,na,'ESD',783.159,709.386,980.859,664.055,537.64
213980_s_at,na,'RXRB',1124.37,1255.78,1294.14,1118.51,1155.35
213983_s_at,na,'TSC22D1',263.758,308.331,175.506,282.366,265.928
213984_at,na,'SENP3 /// SENP3-EIF4A1',70.8596,78.101,56.9158,40.3142,77.8904
213986_s_at,na,'LINC01314',535.608,485.191,481.085,380.238,367.75
213988_s_at,na,'RBMS1',320.995,227.704,377.428,1852.9,1315.01
213995_at,na,'EXOSC8',370.31,266.697,241.398,371.492,385.668
214001_x_at,na,'DPY19L2P2',130.422,196.39,251.934,145.516,133.416
214002_at,na,'TTC28',121.656,131.259,139.715,149.501,172.78
214003_x_at,na,'APBA3',9763.63,9124.88,9612.67,10880.7,9899.63
214004_s_at,na,'YOD1',259.52,284.971,233.175,394.277,549.62
214005_at,na,'PABPC1',233.32,228.442,268.434,293.699,413.234
214006_s_at,na,'DEDD',284.321,388.735,333.062,431.889,567.106
214007_s_at,na,'FRG1CP',1409.26,689.472,655.629,1359.48,1256.48
214011_s_at,na,'UMPS',1939.32,1314.09,1188.03,2245.25,1984.24
214016_s_at,na,'TIMM17A',154.651,112.717,107.455,277.175,122.122
214017_s_at,na,'ITGA6',199.928,202.045,219.276,150.23,155.551
214020_x_at,na,'NAAA',1658.65,1408.53,309.007,1144.78,178.342
214022_s_at,na,'PGF',1230.85,1716.64,1443.57,2204.1,2490.14
214030_at,na,'KRT86',319.167,436.81,500.06,227.886,390.467
214033_at,na,'HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// LOC105369230',193.047,249.697,267.871,156.306,214.677
214036_at,na,'PRKCA',809.098,500.726,549.079,570.85,482.715
214039_s_at,na,'NUS1 /// NUS1P3',6273.1,5171.13,4487.06,4319.82,4499.73
214041_x_at,na,'DLST',409.603,377.552,459.53,322.178,410.709
214042_s_at,na,'WDR62',1931.3,1931.21,2284.35,2448.39,2199.25
214047_s_at,na,'TPR',432.516,394.469,343.911,359.345,412.247
214051_at,na,'KIAA0754 /// MACF1',633.291,611.877,505.002,420.611,566.1
214052_x_at,na,'LOC100129518 /// SOD2',164.098,187.085,187.686,145.158,146.611
214055_x_at,na,'ACP1',390.32,707.497,761.436,390.653,267.289
214056_at,na,'NHLH2',251.717,244.692,254.135,261.84,298.149
214057_at,na,'EIF3C /// EIF3CL',172.197,147.908,134.538,106.397,161.229
214061_at,na,'SPTAN1',323.4,231.245,251.583,240.267,260.819
214072_x_at,na,'PICALM',167.596,244.467,203.321,150.669,208.717
214074_s_at,na,'DOCK9',270.997,249.27,256.519,227.364,222.897
214077_x_at,na,'ZNF273',367.177,286.948,342.199,386.83,315.449
214080_x_at,na,'FMR1',1599.83,1986.81,1219.9,1698.63,1660.77
214085_x_at,na,'RCAN1',579.312,591.338,662.589,1241.73,1758.58
214086_s_at,na,'ZXDA /// ZXDB',753.084,570.827,517.172,748.063,396.707
214091_s_at,na,'TADA3',1314.67,2041.86,2087.39,2124.43,2032.34
214092_x_at,na,'LINC00667',587.757,500.181,507.579,647.965,313.054
214093_s_at,na,'PHTF1',186.012,129.361,167.287,172.856,121.437
214095_at,na,'STRN',364.548,355.522,383.619,313.597,416.01
214096_s_at,na,'SMARCA1',3408.79,2992.48,3218.37,3947.95,4467.34
214097_at,na,'HLA-A',768.896,864.472,684.364,914.487,1720.67
214102_at,na,'GSTM1',77.2041,117.653,63.639,85.0931,119.633
214104_at,na,'NKTR',136.951,209.507,220.719,165.429,89.5104
214106_s_at,na,'CD40',303.231,416.205,452.936,381.538,341.135
214107_x_at,na,'PELP1',864.21,1245.16,1307.69,1072.84,637.204
214109_at,na,'POLDIP3',318.304,391.267,335.797,330.89,311.717
214112_s_at,na,'ZNF44',635.584,696,698.452,866.356,861.399
214113_s_at,na,'GGCT',633.734,759.937,628.841,906.909,739.615
214114_x_at,na,'SPG21',937.587,1085,1037.52,787.282,1004.85
214116_at,na,'OS9',79.1122,122.45,171.764,151.117,116.493
214117_s_at,na,'TRAF3IP2',164.618,209.411,232.953,278.967,291.864
214118_x_at,na,'PMS2P1',528.915,624.442,585.208,514.196,447.435
214119_s_at,na,'STOML2',4358.04,4288.24,4687.73,4228.08,5909.09
214124_x_at,na,'SNW1',242.129,159.154,243.61,254.121,129.038
214126_at,na,'BTG3',216.964,130.949,183.411,227.841,288.917
214129_at,na,'LOC102724250 /// NBPF1 /// NBPF10 /// NBPF19',404.206,370.854,355.796,426.245,338.282
214130_s_at,na,'HSDL2',52.4549,82.4552,61.5863,94.263,80.9685
214139_at,na,'GSPT1',75.3365,98.9421,113.234,67.9675,110.833
214140_at,na,'LOX',84.7443,72.1494,64.1935,89.7166,95.934
214141_x_at,na,'SNRPE',3276.6,3414.47,2920.41,3404.68,3232.33
214143_x_at,na,'SUMO4',13788,12697.4,12253.2,14568.3,15482.9
214144_at,na,'SMURF1',128.829,169.335,94.4859,130.118,114.589
214149_s_at,na,'BRD1',161.795,261.599,231.564,168.345,162.295
214150_x_at,na,'P2RX5-TAX1BP3 /// TAX1BP3',3318.85,3708.82,4420.05,3014.83,4141.62
214155_s_at,na,'EIF2B4',263.647,254.635,225.154,227.481,276.94
214157_at,na,'HOMER3',89.4905,104.533,102.258,156.721,141.932
214167_s_at,na,'PTCRA',9223.3,8261.6,7968.45,10264,11306.8
214168_s_at,na,'BTN2A1',462.345,335.32,366.307,305.553,290.928
214170_x_at,na,'SAMD4A',2661.39,2457.7,2372.05,2618.01,2094.41
214172_x_at,na,'MAP2K3',348.942,280.629,352.658,255.478,278.91
214173_x_at,na,'MAP2K3',1289.04,1285.92,1184.5,1537.79,1325.65
214179_s_at,na,'DUSP10',1197.04,936.461,1073.66,1196.56,1422.06
214182_at,na,'BUB1',561.159,611.254,632.49,592.573,570.559
214190_x_at,na,'TCF20',117.867,88.3591,144.006,119.581,101.002
214193_s_at,na,'---',217.182,176.55,185.847,203.029,153.949
214196_s_at,na,'---',673.5,582.004,532.661,624.044,655.399
214198_s_at,na,'DIP2A',376.637,454.211,540.925,213.678,375.88
214201_x_at,na,'UBE4B',371.215,551.701,671.936,361.499,434.365
214205_x_at,na,'AGPAT1',840.099,755.706,956.947,883.243,806.548
214211_at,na,'DDAH2',3070.46,2222.3,2021.53,1003.64,1086.19
214212_x_at,na,'DIAPH1',426.188,404.172,310.997,544.045,617.929
214214_s_at,na,'SCFD1',2375.38,2199.29,2134.87,1983.44,2282.62
214216_s_at,na,'CTAGE9',342.524,236.636,198.438,453.041,436.832
214218_s_at,na,'LYPLA2',32.9972,57.4073,72.7255,53.1946,67.2676
214220_s_at,na,'LYPLA2',151.243,100.714,133.993,140.957,188.095
214221_at,na,'MCM3AP',127.008,176.148,157.058,138.665,151.402
214224_s_at,na,'LTN1',1323.5,1095.1,1243.13,1467.3,1413.14
214225_at,na,'FBXW12',81.059,76.6861,114.608,120.437,140.485
214239_x_at,na,'ERC1',695.262,702.599,752.931,877.731,990.693
