,A02,B02,C02,D02,E02,F02,G02,H02,NaN,A03,B03,C03,D03,E03,F03,G03,H03,NaN,A04,B04,C04,D04,E04,F04,G04,H04,NaN,A08,B08,C08,D08,E08,F08,G08,H08,NaN,A09,B09,C09,D09,E09,F09,G09,H09,NaN,A10,B10,C10,D10,E10,F10,G10,H10,NaN,A05,B05,C05,D05,NaN,A06,B06,C06,D06,NaN,E05,F05,G05,H05,NaN,A07,B07,C07,D07,NaN,E06,F06,G06,H06,NaN,E07,F07,G07,H07
ECAR (mpH/min):,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,,NaN,,,,
Time,Group Name: Glycolytic Rate Assay-parental yfp,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-brm2 yfp,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-lm2 yfp,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-parental mcherry,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-brm2 mcherry,,,,,,,,NaN,Group Name: Glycolytic Rate Assay-lm2 mcherry,,,,,,,,NaN,Group Name: no drug-parental yfp,,,,NaN,Group Name: no drug-brm2 yfp,,,,NaN,Group Name: no drug-parental mcherry,,,,NaN,Group Name: no drug-lm2 yfp,,,,NaN,Group Name: no drug-brm2 mcherry,,,,NaN,Group Name: no drug-lm2 mcherry,,,
,A02,B02,C02,D02,E02,F02,G02,H02,NaN,A03,B03,C03,D03,E03,F03,G03,H03,NaN,A04,B04,C04,D04,E04,F04,G04,H04,NaN,A08,B08,C08,D08,E08,F08,G08,H08,NaN,A09,B09,C09,D09,E09,F09,G09,H09,NaN,A10,B10,C10,D10,E10,F10,G10,H10,NaN,A05,B05,C05,D05,NaN,A06,B06,C06,D06,NaN,E05,F05,G05,H05,NaN,A07,B07,C07,D07,NaN,E06,F06,G06,H06,NaN,E07,F07,G07,H07
1.3062,9.2666,12.9992,12.0836,14.7596,19.0268,3.7714,5.2722,14.2938,NaN,38.0706,37.9753,52.3145,80.7756,41.4576,72.0749,59.9598,54.9654,NaN,77.6698,87.4903,84.8804,85.9528,83.7325,81.853,93.1713,102.9174,NaN,3.0116,6.8807,2.0938,8.5638,3.3645,14.807,7.5821,3.3224,NaN,18.6912,13.3466,18.4853,34.9804,11.9922,14.4467,20.3625,19.5112,NaN,12.0727,18.2756,17.0342,15.9424,17.0967,16.9398,4.6894,4.1218,NaN,15.7041,5.9481,10.647,9.3803,NaN,63.7028,65.0777,61.0717,74.1774,NaN,5.1685,6.7212,11.3636,7.898,NaN,91.9231,86.5272,86.7313,93.0517,NaN,20.6265,19.2418,18.2439,27.1348,NaN,18.7864,12.7537,14.1979,31.4214
7.7696,12.9662,16.3778,15.4854,17.7055,22.1352,7.3586,9.1025,18.6331,NaN,43.3746,42.1357,54.2037,83.4048,46.3399,71.5139,61.2082,60.9647,NaN,78.4162,88.1856,85.5849,89.2345,85.844,81.7985,92.5995,106.3994,NaN,8.3386,11.3256,6.9391,12.7363,8.4012,19.0073,12.4154,8.928,NaN,23.1148,17.7099,22.8122,38.4462,16.3421,17.9656,24.5243,22.7159,NaN,17.5615,22.1455,20.5758,21.4446,22.4831,21.7827,13.7714,11.5105,NaN,18.7809,9.5017,13.2272,12.7085,NaN,64.8227,64.8592,62.0181,75.0651,NaN,9.3522,14.7205,15.2447,12.2361,NaN,91.6392,87.6385,86.4561,94.6092,NaN,23.818,22.238,21.7925,30.7447,NaN,21.8575,16.8717,17.9425,34.8442
14.2298,13.6746,16.8637,16.0068,18.1308,23.1449,8.0132,9.6209,19.4275,NaN,43.6776,42.8124,53.7868,81.7441,45.7493,71.1616,61.8303,59.7323,NaN,77.8642,87.0316,82.9407,87.999,84.8185,80.4446,93.402,104.9064,NaN,9.6081,11.0086,7.1398,13.8774,8.8522,19.9697,12.8938,9.5886,NaN,23.4325,18.3988,23.284,39.5661,16.754,18.9291,25.0692,23.529,NaN,18.031,22.8917,20.6817,20.8292,22.5535,22.1297,14.4311,12.5278,NaN,19.375,10.1684,13.7337,13.5087,NaN,64.9188,64.5898,61.0741,74.289,NaN,10.5008,15.2965,15.8794,13.1996,NaN,89.7976,86.0822,83.706,93.7055,NaN,24.5568,22.7806,23.123,31.7767,NaN,22.4153,17.4961,18.6555,34.4673
20.7894,24.7327,31.0994,29.399,31.3873,43.0909,13.9772,17.3735,34.4657,NaN,59.995,55.2635,72.7312,117.9747,58.3784,100.7641,83.1965,80.533,NaN,103.2713,115.9861,111.9778,122.011,117.9309,114.5724,129.9396,140.2896,NaN,15.8012,18.7232,10.3764,17.1214,13.0685,33.3499,20.3357,14.7192,NaN,29.6941,22.5372,29.526,53.1167,20.445,23.1749,30.302,29.1167,NaN,25.7508,38.3773,31.7324,32.8172,36.5213,34.8662,23.6087,18.9515,NaN,18.9888,9.6498,12.939,13.146,NaN,64.1416,63.8874,58.988,74.4699,NaN,10.5533,13.4501,14.7098,12.9531,NaN,89.4585,84.1004,85.6442,94.8288,NaN,24.0429,22.2041,21.8983,31.2345,NaN,21.4864,15.8999,17.7264,34.0757
27.2509,25.1749,31.9984,30.9096,32.7803,44.2133,14.6186,18.5656,36.1161,NaN,67.2228,61.0037,83.315,123.5663,65.0669,112.1115,89.781,92.6415,NaN,101.1124,111.1264,108.026,115.5928,111.5391,109.6979,121.721,133.1188,NaN,17.1253,20.569,12.3487,21.2157,14.0435,36.481,22.2642,15.0574,NaN,34.1452,27.2192,35.7997,60.4221,23.5351,26.4828,35.7404,34.5679,NaN,26.4821,38.8656,33.6019,32.9821,38.2876,35.4657,24.125,20.0124,NaN,19.0582,10.1957,12.7859,12.9868,NaN,65.058,63.4655,58.4607,72.4412,NaN,10.4722,13.1639,14.7563,13.0277,NaN,87.888,82.7785,82.9608,91.2544,NaN,23.882,22.783,22.985,31.8556,NaN,20.9058,16.0772,16.7496,33.4955
33.7135,26.1482,33.2486,31.1922,33.3895,45.1614,15.1836,18.7599,37.2381,NaN,69.2273,63.38,85.9183,123.8587,67.8122,114.5432,91.93,97.7053,NaN,102.8592,108.8685,105.0813,112.1458,108.5924,107.1541,116.5079,135.024,NaN,18.3071,21.4315,12.0886,22.0901,14.7215,37.517,22.6702,16.3849,NaN,36.5187,29.6424,38.0841,62.8413,25.2441,28.0594,37.4617,37.1219,NaN,27.6049,38.5331,33.4139,33.5687,38.3873,35.6411,24.387,20.8101,NaN,18.4653,9.9579,13.2748,12.9144,NaN,63.9935,64.2227,58.5248,71.4912,NaN,10.7413,13.4551,15.0092,12.8188,NaN,86.7077,83.1854,81.9063,90.593,NaN,23.8417,22.4731,22.4664,31.725,NaN,21.3355,16.3284,17.0444,32.9786
40.282,5.6248,7.9022,6.1042,7.7848,11.6029,4.0778,5.189,11.9376,NaN,13.2425,20.3564,22.7006,33.781,19.4185,28.1625,31.1909,24.3733,NaN,42.9683,46.1218,47.3387,47.4674,50.6632,47.5404,52.1175,59.3023,NaN,3.9064,5.8612,3.0379,6.8824,5.1066,8.5685,6.7201,5.7401,NaN,9.3393,8.4695,9.2491,15.7924,7.6328,8.6269,11.4308,11.4904,NaN,7.746,9.8089,9.6332,9.8929,11.0117,10.2697,7.5186,6.1444,NaN,18.4624,9.7971,12.6389,12.324,NaN,63.2456,62.9288,56.959,70.0678,NaN,9.5838,12.6396,13.9384,12.1416,NaN,86.4747,83.1429,83.25,93.3614,NaN,24.0051,21.8513,22.1672,31.2461,NaN,20.7038,15.6984,16.7583,32.7709
